Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY","17,097.40","17,205.40","17,045.30","17,076.90","-75.00","-0.44","2,191.75","19,676.90","18,887.60","15,183.40","-1.38","-4.30"
"HINDALCO","387.00","400.65","386.00","398.60","5.85","1.49","104.54","415.08","636.00","308.95","-32.83","-8.21"
"MARUTI","8,264.00","8,375.00","8,232.60","8,359.00","106.60","1.29","5.41","450.74","9,769.00","7,062.35","7.63","-3.85"
"NESTLEIND","18,819.70","19,169.90","18,710.15","19,009.00","189.30","1.01","0.57","107.97","21,050.00","16,000.00","9.06","0.99"
"ONGC","151.10","153.15","150.30","152.70","1.15","0.76","44.85","68.15","181.25","119.85","-12.97","-1.39"
"TATAMOTORS","416.00","422.50","416.00","419.20","3.10","0.75","98.17","412.33","494.40","366.20","-4.80","-5.37"
"ITC","377.00","382.75","374.40","380.20","2.45","0.65","97.52","370.81","394.00","243.55","52.23","-1.00"
"SUNPHARMA","975.00","982.95","972.00","977.95","5.90","0.61","18.58","181.80","1,072.15","789.90","6.99","-0.66"
"BHARTIARTL","758.00","765.80","756.85","761.30","4.60","0.61","24.55","187.27","860.55","628.75","5.85","-2.29"
"CIPLA","868.00","870.90","861.25","868.60","5.20","0.60","18.66","161.68","1,180.10","852.00","-15.88","-9.90"
"DIVISLAB","2,790.65","2,817.45","2,785.75","2,807.00","16.35","0.59","1.93","54.08","4,640.80","2,730.00","-36.90","-3.23"
"JSWSTEEL","661.90","670.80","658.25","665.90","3.65","0.55","11.00","73.33","790.00","520.05","-4.39","-7.94"
"HINDUNILVR","2,475.00","2,500.05","2,466.00","2,488.00","11.65","0.47","15.79","392.39","2,741.60","1,931.30","24.81","-0.93"
"TITAN","2,510.00","2,528.00","2,494.05","2,516.80","8.65","0.34","6.11","153.36","2,791.00","1,825.05","-7.22","1.72"
"NTPC","174.05","175.85","173.70","174.90","0.55","0.32","57.60","100.71","182.20","131.75","31.65","4.17"
"TATASTEEL","104.40","105.50","104.35","105.00","0.20","0.19","209.14","219.70","138.67","82.70","-91.94","-6.54"
"HEROMOTOCO","2,365.00","2,383.85","2,357.00","2,357.00","3.80","0.16","3.72","88.03","2,938.60","2,150.00","-2.75","-6.74"
"HDFCLIFE","497.45","505.00","494.15","498.20","0.75","0.15","44.89","224.69","620.60","457.80","-5.88","-1.92"
"ULTRACEMCO","7,371.00","7,465.00","7,358.45","7,404.00","7.35","0.10","2.33","172.85","7,492.00","5,157.05","19.20","-0.31"
"SBILIFE","1,113.80","1,125.55","1,105.00","1,113.20","0.10","0.01","4.64","51.91","1,340.35","1,033.20","1.42","-3.90"
"TCS","3,114.90","3,146.35","3,101.00","3,130.95","0.15","0.00","13.72","429.28","3,835.60","2,926.10","-15.40","-10.22"
